20,ovf,Fri May 31 16:27:00 2019
46,14371946,ovf,Fri May 31 16:27:00 2019
47,14371946,ovf,Fri May 31 16:27:00 2019
48,14372360,ovf,Fri May 31 16:27:00 2019
49,14372360,ovf,Fri May 31 16:27:00 2019
946,ovf,Fri May 31 16:27:00 2019
43,14371532,ovf,Fri May 31 16:27:00 2019
44,14371532,ovf,Fri May 31 16:27:00 2019
45,14371120,ovf,Fri May 31 16:27:00 2019
46,14371946,ovf,Fri May 31 16:27:00 2019
47,14371946,ovf,Fri May 31 16:27:00 2019
48,14372360,ovf,Fri May 31 16:27:00 2019
49,14372360,ovf,Fri May 31 16:27:00 2019
1,ovf,ovf,Fri May 31 16:27:04 2019
2,14378558,ovf,Fri May 31 16:27:05 2019
3,14374012,ovf,Fri May 31 16:27:06 2019
4,14373598,ovf,Fri May 31 16:27:07 2019
5,14373598,ovf,Fri May 31 16:27:08 2019
6,14373186,ovf,Fri May 31 16:27:09 2019
7,14374426,ovf,Fri May 31 16:27:10 2019
8,14375252,ovf,Fri May 31 16:27:11 2019
9,14374426,ovf,Fri May 31 16:27:12 2019
10,14374012,ovf,Fri May 31 16:27:13 2019
11,14373598,ovf,Fri May 31 16:27:14 2019
12,14383522,ovf,Fri May 31 16:27:15 2019
13,14384350,ovf,Fri May 31 16:27:16 2019
14,14383522,ovf,Fri May 31 16:27:17 2019
15,14383522,ovf,Fri May 31 16:27:18 2019
16,14383522,ovf,Fri May 31 16:27:19 2019
17,14383522,ovf,Fri May 31 16:27:20 2019
18,14383108,ovf,Fri May 31 16:27:21 2019
19,14383522,ovf,Fri May 31 16:27:22 2019
20,14383522,ovf,Fri May 31 16:27:23 2019
21,14383936,ovf,Fri May 31 16:27:24 2019
22,14372772,ovf,Fri May 31 16:27:25 2019
23,14372772,ovf,Fri May 31 16:27:26 2019
24,14372772,ovf,Fri May 31 16:27:27 2019
25,14372772,ovf,Fri May 31 16:27:28 2019
26,14372360,ovf,Fri May 31 16:27:29 2019
27,14371946,ovf,Fri May 31 16:27:30 2019
28,14372772,ovf,Fri May 31 16:27:31 2019
29,14373598,ovf,Fri May 31 16:27:32 2019
30,14374426,ovf,Fri May 31 16:27:33 2019
31,14376904,ovf,Fri May 31 16:27:34 2019
32,14384764,ovf,Fri May 31 16:27:35 2019
33,14384764,ovf,Fri May 31 16:27:36 2019
34,14382282,ovf,Fri May 31 16:27:37 2019
35,14381040,ovf,Fri May 31 16:27:38 2019
36,14381868,ovf,Fri May 31 16:27:39 2019
37,14381454,ovf,Fri May 31 16:27:40 2019
38,14381454,ovf,Fri May 31 16:27:41 2019
39,14381454,ovf,Fri May 31 16:27:42 2019
40,14381040,ovf,Fri May 31 16:27:43 2019
41,14381454,ovf,Fri May 31 16:27:44 2019
42,14371532,ovf,Fri May 31 16:27:45 2019
43,14370706,ovf,Fri May 31 16:27:46 2019
44,14370706,ovf,Fri May 31 16:27:47 2019
45,14371120,ovf,Fri May 31 16:27:48 2019
46,14371532,ovf,Fri May 31 16:27:49 2019
47,14371120,ovf,Fri May 31 16:27:50 2019
48,14371120,ovf,Fri May 31 16:27:51 2019
49,14370294,ovf,Fri May 31 16:27:52 2019
50,14371120,ovf,Fri May 31 16:27:53 2019
51,14371120,ovf,Fri May 31 16:27:54 2019
52,14381040,ovf,Fri May 31 16:27:55 2019
53,14380626,ovf,Fri May 31 16:27:56 2019
54,14381454,ovf,Fri May 31 16:27:57 2019
55,14381454,ovf,Fri May 31 16:27:58 2019
56,14381454,ovf,Fri May 31 16:27:59 2019
57,14381040,ovf,Fri May 31 16:28:00 2019
58,14381040,ovf,Fri May 31 16:28:01 2019
59,14381454,ovf,Fri May 31 16:28:02 2019
60,14381040,ovf,Fri May 31 16:28:03 2019
61,14381040,ovf,Fri May 31 16:28:04 2019
62,14370294,ovf,Fri May 31 16:28:05 2019
63,14371120,ovf,Fri May 31 16:28:06 2019
64,14370706,ovf,Fri May 31 16:28:07 2019
65,14370706,ovf,Fri May 31 16:28:08 2019
66,14370706,ovf,Fri May 31 16:28:09 2019
67,14371120,ovf,Fri May 31 16:28:10 2019
68,14370706,ovf,Fri May 31 16:28:11 2019
69,14370706,ovf,Fri May 31 16:28:12 2019
70,14371120,ovf,Fri May 31 16:28:13 2019
71,14371120,ovf,Fri May 31 16:28:14 2019
72,14382282,ovf,Fri May 31 16:28:15 2019
73,14381868,ovf,Fri May 31 16:28:16 2019
74,14381868,ovf,Fri May 31 16:28:17 2019
75,14381454,ovf,Fri May 31 16:28:18 2019
76,14381868,ovf,Fri May 31 16:28:19 2019
77,14381868,ovf,Fri May 31 16:28:20 2019
78,14381454,ovf,Fri May 31 16:28:21 2019
79,14381454,ovf,Fri May 31 16:28:22 2019
80,14381868,ovf,Fri May 31 16:28:23 2019
81,14381868,ovf,Fri May 31 16:28:24 2019
82,14372772,ovf,Fri May 31 16:28:25 2019
83,14374012,ovf,Fri May 31 16:28:26 2019
84,14371532,ovf,Fri May 31 16:28:27 2019
85,14371532,ovf,Fri May 31 16:28:28 2019
86,14371532,ovf,Fri May 31 16:28:29 2019
87,14371946,ovf,Fri May 31 16:28:30 2019
88,14370706,ovf,Fri May 31 16:28:31 2019
89,14369880,ovf,Fri May 31 16:28:32 2019
90,14369054,ovf,Fri May 31 16:28:33 2019
91,14369054,ovf,Fri May 31 16:28:34 2019
92,14399678,ovf,Fri May 31 16:28:35 2019
93,14395946,ovf,Fri May 31 16:28:36 2019
94,14391388,ovf,Fri May 31 16:28:37 2019
95,14396360,ovf,Fri May 31 16:28:38 2019
96,14395946,ovf,Fri May 31 16:28:39 2019
97,14397190,ovf,Fri May 31 16:28:40 2019
98,14371946,ovf,Fri May 31 16:28:41 2019
99,14380626,ovf,Fri May 31 16:28:42 2019
100,14395532,ovf,Fri May 31 16:28:43 2019
101,14411714,ovf,Fri May 31 16:28:44 2019
102,14412130,ovf,Fri May 31 16:28:45 2019
103,14394702,ovf,Fri May 31 16:28:46 2019
104,14394288,ovf,Fri May 31 16:28:47 2019
105,14395118,ovf,Fri May 31 16:28:48 2019
106,14421274,ovf,Fri May 31 16:28:49 2019
107,14953942,ovf,Fri May 31 16:28:50 2019
108,15461686,ovf,Fri May 31 16:28:51 2019
109,14959758,ovf,Fri May 31 16:28:52 2019
110,15109848,ovf,Fri May 31 16:28:53 2019
111,14769740,ovf,Fri May 31 16:28:54 2019
112,14957074,ovf,Fri May 31 16:28:55 2019
113,14721904,ovf,Fri May 31 16:28:56 2019
114,14839438,ovf,Fri May 31 16:28:57 2019
115,15091150,ovf,Fri May 31 16:28:58 2019
116,14835474,ovf,Fri May 31 16:28:59 2019
117,15067048,ovf,Fri May 31 16:29:00 2019
118,14431680,ovf,Fri May 31 16:29:01 2019
119,14906240,ovf,Fri May 31 16:29:02 2019
120,14946790,ovf,Fri May 31 16:29:03 2019
121,14610484,ovf,Fri May 31 16:29:04 2019
122,14251104,ovf,Fri May 31 16:29:05 2019
123,13665310,ovf,Fri May 31 16:29:06 2019
124,15246692,ovf,Fri May 31 16:29:07 2019
125,15722282,ovf,Fri May 31 16:29:08 2019
126,15731186,ovf,Fri May 31 16:29:09 2019
127,15676438,ovf,Fri May 31 16:29:10 2019
128,15730196,ovf,Fri May 31 16:29:11 2019
129,15748032,ovf,Fri May 31 16:29:12 2019
130,15701052,ovf,Fri May 31 16:29:13 2019
131,15644556,ovf,Fri May 31 16:29:14 2019
132,15623536,ovf,Fri May 31 16:29:15 2019
133,15584092,ovf,Fri May 31 16:29:16 2019
134,15542914,ovf,Fri May 31 16:29:17 2019
135,15521684,ovf,Fri May 31 16:29:18 2019
136,15519756,ovf,Fri May 31 16:29:19 2019
137,15527468,ovf,Fri May 31 16:29:20 2019
138,15514940,ovf,Fri May 31 16:29:21 2019
139,15541464,ovf,Fri May 31 16:29:22 2019
140,15542914,ovf,Fri May 31 16:29:23 2019
141,15526986,ovf,Fri May 31 16:29:24 2019
142,15518794,ovf,Fri May 31 16:29:25 2019
143,15524576,ovf,Fri May 31 16:29:26 2019
144,15532292,ovf,Fri May 31 16:29:27 2019
145,15541948,ovf,Fri May 31 16:29:28 2019
146,15576810,ovf,Fri May 31 16:29:29 2019
147,15592840,ovf,Fri May 31 16:29:31 2019
148,15592354,ovf,Fri May 31 16:29:32 2019
149,15592354,ovf,Fri May 31 16:29:33 2019
150,15590894,ovf,Fri May 31 16:29:34 2019
151,15584578,ovf,Fri May 31 16:29:35 2019
152,15608416,ovf,Fri May 31 16:29:36 2019
153,15630372,ovf,Fri May 31 16:29:37 2019
154,15612802,ovf,Fri May 31 16:29:38 2019
155,15597218,ovf,Fri May 31 16:29:39 2019
156,15580692,ovf,Fri May 31 16:29:40 2019
157,15576324,ovf,Fri May 31 16:29:41 2019
158,15576324,ovf,Fri May 31 16:29:42 2019
159,15565172,ovf,Fri May 31 16:29:43 2019
160,15595272,ovf,Fri May 31 16:29:44 2019
161,15572928,ovf,Fri May 31 16:29:45 2019
162,15537118,ovf,Fri May 31 16:29:46 2019
163,15521202,ovf,Fri May 31 16:29:47 2019
164,15473170,ovf,Fri May 31 16:29:48 2019
165,15470298,ovf,Fri May 31 16:29:49 2019
166,15463598,ovf,Fri May 31 16:29:50 2019
167,15451652,ovf,Fri May 31 16:29:51 2019
168,15441154,ovf,Fri May 31 16:29:52 2019
169,15438294,ovf,Fri May 31 16:29:53 2019
170,15433528,ovf,Fri May 31 16:29:54 2019
171,15433052,ovf,Fri May 31 16:29:55 2019
172,15433528,ovf,Fri May 31 16:29:56 2019
173,15435434,ovf,Fri May 31 16:29:57 2019
174,15426386,ovf,Fri May 31 16:29:58 2019
175,15421628,ovf,Fri May 31 16:29:59 2019
176,15419250,ovf,Fri May 31 16:30:00 2019
177,15421628,ovf,Fri May 31 16:30:01 2019
178,15422102,ovf,Fri May 31 16:30:02 2019
179,15423530,ovf,Fri May 31 16:30:03 2019
180,15450696,ovf,Fri May 31 16:30:04 2019
